,booliId,streetAddress,constructionYear,soldPriceAbsoluteDiff,soldPricePercentageDiff,listPrice,objectType,descriptiveAreaName,soldPriceType,daysActive,soldDate,latitude,longitude,url,__typename,soldPrice.raw,floor.raw,soldSqmPrice.raw,livingArea.raw,rooms.raw,soldPriceAbsoluteDiff.raw,soldPricePercentageDiff.raw,listPrice.raw,floor,soldSqmPrice,livingArea,rooms
64,2223421,Kungstensgatan 61,1886.0,,,,Lägenhet,Vasastan,Slutpris,13.0,2016-12-08,59.339428,18.050266,/bostad/648177,SoldProperty,11400000,3.0,102703.0,111.0,4.0,1405000.0,14.1,9995000.0,,,,
65,2091138,Ringvägen 141,1928.0,,,,Lägenhet,Södermalm,Slutpris,24.0,2016-05-27,59.30882367,18.08137872,/bostad/708948,SoldProperty,4150000,3.0,72807.0,57.0,2.0,-250000.0,-5.7,4400000.0,,,,
66,2205596,Birkagatan 31,1903.0,,,,Lägenhet,Vasastan,Slutpris,16.0,2016-11-12,59.34171731,18.03554093,/bostad/324467,SoldProperty,3950000,3.0,106757.0,37.0,1.5,553000.0,16.3,3397000.0,,,,
67,2188959,Surbrunnsgatan 33,1903.0,,,,Lägenhet,Vasastan,Slutpris,20.0,2016-10-21,59.34533743,18.05803344,/annons/2188959,SoldProperty,5775000,2.0,69578.0,83.0,3.0,-75000.0,-1.3,5850000.0,,,,
68,2222416,Dannemoragatan 16A,1930.0,,,,Lägenhet,Vasastan,Slutpris,13.0,2016-12-08,59.3486,18.0441,/annons/2222416,SoldProperty,3920000,1.0,93333.0,42.0,2.0,670000.0,20.6,3250000.0,,,,
69,2082501,Sibyllegatan 31,1927.0,,,,Lägenhet,Östermalm,Slutpris,29.0,2016-05-20,59.33653358,18.08003773,/bostad/799861,SoldProperty,3500000,2.0,120690.0,29.0,1.0,705000.0,25.2,2795000.0,,,,
70,2025801,Vattugatan 13,2003.0,,,,Lägenhet,Vasastan,Slutpris,7.0,2016-01-27,59.3304,18.0634,/bostad/435010,SoldProperty,7700000,5.0,80628.0,95.5,3.0,105000.0,1.4,7595000.0,,,,
71,2157023,Wallingatan 11,1889.0,,,,Lägenhet,Vasastan,Slutpris,13.0,2016-09-01,59.33684985,18.05707646,/annons/2157023,SoldProperty,4050000,2.0,112500.0,36.0,1.0,455000.0,12.7,3595000.0,,,,
72,1885427,Malmgårdsvägen 20,1967.0,,,,Lägenhet,Södermalm,Slutpris,14.0,2016-02-19,59.30938322,18.08966447,/bostad/632435,SoldProperty,4700000,5.0,81034.0,58.0,2.0,825000.0,21.3,3875000.0,,,,
73,1879430,Åsögatan 185,1905.0,,,,Lägenhet,Södermalm,Slutpris,13.0,2016-03-10,59.31468,18.0905,/bostad/138799,SoldProperty,4060000,1.0,84583.0,48.0,2.0,585000.0,16.8,3475000.0,,,,
